                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 2.9571,                  2.906,                 1.5113,                0.82882,                0.68312,                0.52929,                0.58929,                0.23072,                0.36808,                0.37105,                0.25781,                0.09316,                 2.2056,                 1.9895,                 1.1891,                0.85696,              0.0010499,              0.0010499,              0.0010499
                     70,                 2.6417,                 2.2071,                 1.4402,                 0.8343,                0.68312,                0.52929,                0.58929,                0.23072,                0.36808,                0.37105,                0.25781,                0.09316,                 2.2056,                 1.9895,                 1.1891,                0.85696,              0.0010442,              0.0010442,              0.0010442
                     71,                 2.8323,                 3.0798,                 1.4945,                0.86832,                0.68312,                0.52929,                0.58929,                0.23072,                0.36808,                0.37105,                0.25781,                0.09316,                 2.2056,                 1.9895,                 1.1891,                0.85696,              0.0010385,              0.0010385,              0.0010385
                     72,                 2.8972,                 2.4782,                 1.5845,                0.82458,                0.67361,                 0.5621,                0.61929,                0.24279,                 0.4122,                  0.417,                 0.3266,                 0.1328,                 2.2199,                 1.9038,                 1.1719,                0.85163,              0.0010329,              0.0010329,              0.0010329
                     73,                 2.7428,                 2.5455,                 1.3994,                0.86081,                0.67361,                 0.5621,                0.61929,                0.24279,                 0.4122,                  0.417,                 0.3266,                 0.1328,                 2.2199,                 1.9038,                 1.1719,                0.85163,              0.0010272,              0.0010272,              0.0010272
                     74,                 2.7393,                 2.3483,                 1.4175,                0.84456,                0.67361,                 0.5621,                0.61929,                0.24279,                 0.4122,                  0.417,                 0.3266,                 0.1328,                 2.2199,                 1.9038,                 1.1719,                0.85163,              0.0010216,              0.0010216,              0.0010216
                     75,                 2.8429,                 2.4333,                 1.4722,                0.82613,                0.67361,                 0.5621,                0.61929,                0.24279,                 0.4122,                  0.417,                 0.3266,                 0.1328,                 2.2199,                 1.9038,                 1.1719,                0.85163,              0.0010159,              0.0010159,              0.0010159
                     76,                 2.8303,                 2.8524,                 1.4402,                0.85394,                0.66882,                0.56135,                0.61093,                0.23955,                0.39986,                0.40732,                0.30811,                0.13423,                 2.2288,                 1.9873,                 1.1672,                0.85925,              0.0010102,              0.0010102,              0.0010102
                     77,                 2.7708,                 2.8082,                 1.4522,                0.84816,                0.66882,                0.56135,                0.61093,                0.23955,                0.39986,                0.40732,                0.30811,                0.13423,                 2.2288,                 1.9873,                 1.1672,                0.85925,              0.0010046,              0.0010046,              0.0010046
                     78,                 2.8381,                 2.8816,                 1.4956,                0.82299,                0.66882,                0.56135,                0.61093,                0.23955,                0.39986,                0.40732,                0.30811,                0.13423,                 2.2288,                 1.9873,                 1.1672,                0.85925,             0.00099893,             0.00099893,             0.00099893
                     79,                 2.8146,                  2.683,                 1.4592,                0.84572,                0.65452,                0.57271,                0.59231,                0.22704,                0.37285,                0.38891,                0.26767,                0.11354,                 2.3044,                 2.0092,                 1.1722,                 0.8578,             0.00099327,             0.00099327,             0.00099327
                     80,                 2.7048,                 2.6088,                 1.3754,                0.84308,                0.65452,                0.57271,                0.59231,                0.22704,                0.37285,                0.38891,                0.26767,                0.11354,                 2.3044,                 2.0092,                 1.1722,                 0.8578,             0.00098761,             0.00098761,             0.00098761
                     81,                 2.7563,                 2.5181,                 1.4503,                0.82727,                0.65452,                0.57271,                0.59231,                0.22704,                0.37285,                0.38891,                0.26767,                0.11354,                 2.3044,                 2.0092,                 1.1722,                 0.8578,             0.00098195,             0.00098195,             0.00098195
                     82,                 2.7196,                 2.7512,                 1.4697,                0.82362,                0.63091,                0.56711,                0.57003,                0.20618,                0.36808,                 0.4019,                0.25461,                0.10004,                 2.4451,                 1.9787,                 1.1682,                0.85583,             0.00097629,             0.00097629,             0.00097629
                     83,                 2.7126,                 2.5109,                 1.4178,                0.84158,                0.63091,                0.56711,                0.57003,                0.20618,                0.36808,                 0.4019,                0.25461,                0.10004,                 2.4451,                 1.9787,                 1.1682,                0.85583,             0.00097063,             0.00097063,             0.00097063
                     84,                 2.7515,                 2.5574,                 1.5501,                0.81906,                0.63091,                0.56711,                0.57003,                0.20618,                0.36808,                 0.4019,                0.25461,                0.10004,                 2.4451,                 1.9787,                 1.1682,                0.85583,             0.00096498,             0.00096498,             0.00096498
                     85,                 2.7334,                 2.7002,                  1.349,                0.81642,                 0.6265,                0.57258,                0.59952,                0.20687,                0.40984,                0.43892,                0.30563,                0.11456,                 2.4399,                 2.0765,                 1.1606,                0.85969,             0.00095932,             0.00095932,             0.00095932
                     86,                 2.9104,                  2.886,                  1.542,                0.80364,                 0.6265,                0.57258,                0.59952,                0.20687,                0.40984,                0.43892,                0.30563,                0.11456,                 2.4399,                 2.0765,                 1.1606,                0.85969,             0.00095366,             0.00095366,             0.00095366
                     87,                 2.9178,                 2.7713,                 1.5971,                0.83633,                 0.6265,                0.57258,                0.59952,                0.20687,                0.40984,                0.43892,                0.30563,                0.11456,                 2.4399,                 2.0765,                 1.1606,                0.85969,               0.000948,               0.000948,               0.000948
                     88,                 2.6743,                  2.683,                  1.375,                0.85044,                0.62146,                0.60418,                0.61108,                0.21596,                0.45567,                 0.4718,                 0.3643,                0.13426,                   2.33,                 2.1833,                 1.1141,                0.85985,             0.00094234,             0.00094234,             0.00094234
                     89,                  2.666,                 2.2954,                 1.4746,                0.85115,                0.62146,                0.60418,                0.61108,                0.21596,                0.45567,                 0.4718,                 0.3643,                0.13426,                   2.33,                 2.1833,                 1.1141,                0.85985,             0.00093668,             0.00093668,             0.00093668
                     90,                 2.7776,                 2.5998,                 1.4897,                0.84546,                0.62146,                0.60418,                0.61108,                0.21596,                0.45567,                 0.4718,                 0.3643,                0.13426,                   2.33,                 2.1833,                 1.1141,                0.85985,             0.00093102,             0.00093102,             0.00093102
