                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7157,                 3.1817,                 1.4354,                0.88482,                0.54016,                 0.5751,                0.49792,                0.13316,                0.27042,                0.40728,                0.21417,                 0.0683,                 2.9097,                 4.9083,                  1.376,                0.92748,              0.0011178,              0.0011178,              0.0011178
                     36,                 2.7161,                 3.1573,                 1.5305,                0.86701,                0.48263,                0.57699,                0.43864,                0.11307,                0.24555,                0.38085,                0.18108,                0.06254,                  3.025,                 4.4702,                 1.3974,                0.93764,              0.0011083,              0.0011083,              0.0011083
                     37,                 2.8916,                 3.1639,                 1.5731,                0.86547,                0.48263,                0.57699,                0.43864,                0.11307,                0.24555,                0.38085,                0.18108,                0.06254,                  3.025,                 4.4702,                 1.3974,                0.93764,              0.0010989,              0.0010989,              0.0010989
                     38,                 2.7879,                 2.6037,                  1.501,                 0.8503,                0.48263,                0.57699,                0.43864,                0.11307,                0.24555,                0.38085,                0.18108,                0.06254,                  3.025,                 4.4702,                 1.3974,                0.93764,              0.0010895,              0.0010895,              0.0010895
                     39,                 2.6761,                 2.6703,                 1.4794,                0.85232,                0.53168,                  0.604,                  0.514,                0.14548,                0.26447,                0.39697,                0.20059,                0.07399,                 2.8732,                 3.4807,                 1.3146,                0.93577,                0.00108,                0.00108,                0.00108
                     40,                 2.6759,                 2.6675,                 1.4978,                0.85414,                0.53168,                  0.604,                  0.514,                0.14548,                0.26447,                0.39697,                0.20059,                0.07399,                 2.8732,                 3.4807,                 1.3146,                0.93577,              0.0010706,              0.0010706,              0.0010706
                     41,                 2.5395,                  2.718,                 1.3823,                0.85564,                0.61864,                0.59148,                0.58216,                0.17905,                0.30555,                0.41809,                0.22492,                 0.0836,                 2.7367,                 2.9511,                 1.2578,                 0.9294,              0.0010612,              0.0010612,              0.0010612
                     42,                 2.6665,                  2.886,                 1.4497,                0.85005,                0.61864,                0.59148,                0.58216,                0.17905,                0.30555,                0.41809,                0.22492,                 0.0836,                 2.7367,                 2.9511,                 1.2578,                 0.9294,              0.0010517,              0.0010517,              0.0010517
                     43,                 2.7167,                 2.8561,                 1.5425,                0.84945,                0.59762,                0.55996,                0.53302,                0.15525,                0.31776,                 0.4271,                0.23525,                0.08636,                 2.8875,                 3.2406,                 1.2963,                0.93168,              0.0010423,              0.0010423,              0.0010423
                     44,                  2.762,                 2.5998,                  1.522,                0.83349,                0.59762,                0.55996,                0.53302,                0.15525,                0.31776,                 0.4271,                0.23525,                0.08636,                 2.8875,                 3.2406,                 1.2963,                0.93168,              0.0010329,              0.0010329,              0.0010329
                     45,                 2.6616,                 2.5214,                 1.4441,                0.83775,                0.59762,                0.55996,                0.53302,                0.15525,                0.31776,                 0.4271,                0.23525,                0.08636,                 2.8875,                 3.2406,                 1.2963,                0.93168,              0.0010234,              0.0010234,              0.0010234
                     46,                 2.5575,                 2.6551,                 1.3978,                0.86675,                0.59291,                0.55802,                0.55026,                0.16278,                0.33407,                0.43955,                0.25333,                0.09294,                 2.8786,                 3.2309,                 1.2925,                0.93185,               0.001014,               0.001014,               0.001014
                     47,                  2.666,                 2.5163,                 1.4797,                0.83578,                0.59291,                0.55802,                0.55026,                0.16278,                0.33407,                0.43955,                0.25333,                0.09294,                 2.8786,                 3.2309,                 1.2925,                0.93185,              0.0010046,              0.0010046,              0.0010046
                     48,                  2.585,                 2.3452,                 1.4174,                0.85233,                0.63823,                0.59221,                 0.6154,                0.20247,                0.34875,                0.44096,                0.26758,                0.09969,                 2.7192,                 3.0563,                 1.2596,                0.92225,             0.00099516,             0.00099516,             0.00099516
                     49,                 2.5244,                 2.4123,                 1.3742,                0.84907,                0.63823,                0.59221,                 0.6154,                0.20247,                0.34875,                0.44096,                0.26758,                0.09969,                 2.7192,                 3.0563,                 1.2596,                0.92225,             0.00098572,             0.00098572,             0.00098572
                     50,                 2.7272,                 2.7913,                 1.4212,                0.82555,                0.63823,                0.59221,                 0.6154,                0.20247,                0.34875,                0.44096,                0.26758,                0.09969,                 2.7192,                 3.0563,                 1.2596,                0.92225,             0.00097629,             0.00097629,             0.00097629
                     51,                 2.5873,                 2.4513,                 1.4084,                0.84977,                0.59578,                0.58509,                0.58296,                 0.1935,                 0.3331,                0.45146,                0.27999,                0.10549,                 2.7449,                  2.987,                 1.2827,                0.92416,             0.00096686,             0.00096686,             0.00096686
                     52,                 2.5649,                 2.3682,                  1.401,                0.84275,                0.59578,                0.58509,                0.58296,                 0.1935,                 0.3331,                0.45146,                0.27999,                0.10549,                 2.7449,                  2.987,                 1.2827,                0.92416,             0.00095743,             0.00095743,             0.00095743
                     53,                 2.5477,                 2.5397,                 1.5122,                0.82937,                0.56773,                  0.531,                0.51437,                0.17025,                0.34254,                0.46685,                0.29106,                0.10886,                 2.8573,                 3.1817,                 1.3484,                0.93004,               0.000948,               0.000948,               0.000948
                     54,                 2.4653,                 2.1772,                 1.3612,                0.84745,                0.56773,                  0.531,                0.51437,                0.17025,                0.34254,                0.46685,                0.29106,                0.10886,                 2.8573,                 3.1817,                 1.3484,                0.93004,             0.00093857,             0.00093857,             0.00093857
                     55,                 2.5199,                 2.6426,                 1.4567,                0.84383,                0.56773,                  0.531,                0.51437,                0.17025,                0.34254,                0.46685,                0.29106,                0.10886,                 2.8573,                 3.1817,                 1.3484,                0.93004,             0.00092914,             0.00092914,             0.00092914
                     56,                 2.4836,                 2.2054,                 1.4585,                0.84424,                0.48848,                0.52104,                0.46675,                0.15649,                0.35134,                0.42049,                  0.303,                0.11091,                 2.9771,                 3.3996,                 1.3591,                0.92643,              0.0009197,              0.0009197,              0.0009197
                     57,                  2.596,                 2.2781,                 1.3743,                0.83326,                0.48848,                0.52104,                0.46675,                0.15649,                0.35134,                0.42049,                  0.303,                0.11091,                 2.9771,                 3.3996,                 1.3591,                0.92643,             0.00091027,             0.00091027,             0.00091027
                     58,                 2.5179,                 2.3621,                 1.3339,                 0.8455,                0.53439,                0.55108,                0.51522,                0.17571,                0.35769,                0.45528,                0.31642,                0.12011,                 2.8728,                 3.3276,                 1.3117,                0.91381,             0.00090084,             0.00090084,             0.00090084
                     59,                  2.398,                 2.3754,                 1.2457,                0.83778,                0.53439,                0.55108,                0.51522,                0.17571,                0.35769,                0.45528,                0.31642,                0.12011,                 2.8728,                 3.3276,                 1.3117,                0.91381,             0.00089141,             0.00089141,             0.00089141
                     60,                 2.6441,                 2.3614,                 1.4413,                0.81779,                0.53439,                0.55108,                0.51522,                0.17571,                0.35769,                0.45528,                0.31642,                0.12011,                 2.8728,                 3.3276,                 1.3117,                0.91381,             0.00088198,             0.00088198,             0.00088198
                     61,                 2.4312,                 2.1258,                 1.2959,                0.83552,                 0.5966,                0.56734,                0.56113,                0.18664,                0.34431,                0.41945,                0.28754,                0.11074,                 2.7904,                 3.2039,                  1.281,                0.90888,             0.00087255,             0.00087255,             0.00087255
